LOW_ESTIMATE,HIGH_ESTIMATE,MEAN_ESTIMATE,DURATION,DISTANCE,CATEGORY
12.0,15.0,13.5,720,4.09,uberX
14.0,18.0,16.0,720,4.09,UberSELECT
8.0,11.0,9.5,420,2.69,uberX
10.0,13.0,11.5,420,2.69,UberSELECT
17.0,22.0,19.5,1140,7.0,uberX
21.0,27.0,24.0,1140,7.0,UberSELECT
15.0,19.0,17.0,840,5.84,uberX
18.0,23.0,20.5,840,5.84,UberSELECT
12.0,16.0,14.0,840,4.45,uberX
15.0,19.0,17.0,840,4.45,UberSELECT
15.0,20.0,17.5,720,4.73,uberX
15.0,20.0,17.5,720,4.73,UberSELECT
33.0,41.0,37.0,1500,10.81,uberX
30.0,38.0,34.0,1500,10.81,UberSELECT
24.0,30.0,27.0,1560,9.94,uberX
28.0,36.0,32.0,1560,9.94,UberSELECT
18.0,23.0,20.5,1020,4.78,uberX
16.0,21.0,18.5,1020,4.78,UberSELECT
17.0,22.0,19.5,1260,6.98,uberX
21.0,26.0,23.5,1260,6.98,UberSELECT
10.0,13.0,11.5,480,3.22,uberX
11.0,15.0,13.0,480,3.22,UberSELECT
11.0,14.0,12.5,600,3.91,uberX
13.0,17.0,15.0,600,3.91,UberSELECT
24.0,30.0,27.0,1500,10.0,uberX
28.0,36.0,32.0,1500,10.0,UberSELECT
16.0,21.0,18.5,780,4.71,uberX
15.0,19.0,17.0,780,4.71,UberSELECT
9.0,12.0,10.5,300,1.63,uberX
7.0,10.0,8.5,300,1.63,UberSELECT
14.0,18.0,16.0,780,5.01,uberX
16.0,21.0,18.5,780,5.01,UberSELECT
7.0,10.0,8.5,360,2.18,uberX
9.0,12.0,10.5,360,2.18,UberSELECT
16.0,20.0,18.0,960,6.27,uberX
19.0,24.0,21.5,960,6.27,UberSELECT
17.0,22.0,19.5,1080,6.79,uberX
20.0,26.0,23.0,1080,6.79,UberSELECT
34.0,43.0,38.5,1620,11.42,uberX
32.0,40.0,36.0,1620,11.42,UberSELECT
20.0,26.0,23.0,1080,6.79,uberX
26.0,33.0,29.5,1080,6.79,UberSELECT
34.0,42.0,38.0,1380,10.47,uberX
43.0,54.0,48.5,1380,10.47,UberSELECT
38.0,47.0,42.5,1380,8.78,uberX
30.0,38.0,34.0,1380,8.78,UberSELECT
17.0,22.0,19.5,1080,6.86,uberX
20.0,26.0,23.0,1080,6.86,UberSELECT
16.0,21.0,18.5,900,6.03,uberX
19.0,24.0,21.5,900,6.03,UberSELECT
17.0,22.0,19.5,1020,7.06,uberX
20.0,26.0,23.0,1020,7.06,UberSELECT
12.0,16.0,14.0,660,4.51,uberX
15.0,19.0,17.0,660,4.51,UberSELECT
8.0,11.0,9.5,420,2.77,uberX
10.0,13.0,11.5,420,2.77,UberSELECT
25.0,31.0,28.0,1440,8.45,uberX
25.0,31.0,28.0,1440,8.45,UberSELECT
16.0,20.0,18.0,960,6.21,uberX
19.0,24.0,21.5,960,6.21,UberSELECT
14.0,18.0,16.0,1140,4.48,uberX
78.0,97.0,87.5,1140,4.48,UberSELECT
8.0,11.0,9.5,480,2.59,uberX
48.0,59.0,53.5,480,2.59,UberSELECT
27.0,34.0,30.5,1860,10.59,uberX
152.0,186.0,169.0,1860,10.59,UberSELECT
10.0,13.0,11.5,660,3.12,uberX
56.0,70.0,63.0,660,3.12,UberSELECT
6.0,9.0,7.5,360,1.66,uberX
36.0,46.0,41.0,360,1.66,UberSELECT
25.0,32.0,28.5,1680,9.94,uberX
146.0,180.0,163.0,1680,9.94,UberSELECT
9.0,12.0,10.5,540,2.69,uberX
50.0,62.0,56.0,540,2.69,UberSELECT
13.0,17.0,15.0,780,4.86,uberX
78.0,96.0,87.0,780,4.86,UberSELECT
14.0,18.0,16.0,960,4.71,uberX
79.0,98.0,88.5,960,4.71,UberSELECT
13.0,17.0,15.0,900,4.5,uberX
75.0,93.0,84.0,900,4.5,UberSELECT
16.0,21.0,18.5,1320,6.13,uberX
96.0,118.0,107.0,1320,6.13,UberSELECT
27.0,34.0,30.5,2040,10.25,uberX
152.0,187.0,169.5,2040,10.25,UberSELECT
16.0,20.0,18.0,1020,5.8,uberX
88.0,109.0,98.5,1020,5.8,UberSELECT
25.0,31.0,28.0,1680,8.92,uberX
140.0,173.0,156.5,1680,8.92,UberSELECT
26.0,33.0,29.5,1740,10.27,uberX
147.0,181.0,164.0,1740,10.27,UberSELECT
12.0,16.0,14.0,900,4.32,uberX
71.0,87.0,79.0,900,4.32,UberSELECT
11.0,15.0,13.0,840,3.63,uberX
63.0,78.0,70.5,840,3.63,UberSELECT
14.0,19.0,16.5,1200,4.64,uberX
79.0,98.0,88.5,1200,4.64,UberSELECT
15.0,19.0,17.0,1080,5.23,uberX
82.0,101.0,91.5,1080,5.23,UberSELECT
26.0,32.0,29.0,1800,9.61,uberX
140.0,172.0,156.0,1800,9.61,UberSELECT
9.0,12.0,10.5,540,2.78,uberX
47.0,58.0,52.5,540,2.78,UberSELECT
11.0,14.0,12.5,600,3.69,uberX
52.0,65.0,58.5,600,3.69,UberSELECT
14.0,18.0,16.0,1080,4.72,uberX
65.0,81.0,73.0,1080,4.72,UberSELECT
11.0,14.0,12.5,720,3.56,uberX
52.0,65.0,58.5,720,3.56,UberSELECT
13.0,17.0,15.0,1020,4.47,uberX
68.0,84.0,76.0,1020,4.47,UberSELECT
29.0,37.0,33.0,1980,10.98,uberX
149.0,183.0,166.0,1980,10.98,UberSELECT
16.0,21.0,18.5,780,4.33,uberX
58.0,73.0,65.5,780,4.33,UberSELECT
21.0,26.0,23.5,1500,7.86,uberX
101.0,124.0,112.5,1500,7.86,UberSELECT
30.0,38.0,34.0,1980,11.72,uberX
149.0,183.0,166.0,1980,11.72,UberSELECT
18.0,23.0,20.5,1380,6.62,uberX
86.0,107.0,96.5,1380,6.62,UberSELECT
11.0,14.0,12.5,720,3.4,uberX
51.0,63.0,57.0,720,3.4,UberSELECT
25.0,31.0,28.0,1800,8.92,uberX
97.0,120.0,108.5,1800,8.92,UberSELECT
10.0,13.0,11.5,660,3.15,uberX
34.0,43.0,38.5,660,3.15,UberSELECT
25.0,32.0,28.5,1680,9.6,uberX
62.0,77.0,69.5,1680,9.6,UberSELECT
29.0,37.0,33.0,2100,12.31,uberX
56.0,69.0,62.5,2100,12.31,UberSELECT
28.0,36.0,32.0,1980,11.42,uberX
34.0,43.0,38.5,1980,11.42,UberSELECT
15.0,19.0,17.0,1140,5.1,uberX
18.0,23.0,20.5,1140,5.1,UberSELECT
27.0,35.0,31.0,2040,10.37,uberX
33.0,41.0,37.0,2040,10.37,UberSELECT
21.0,27.0,24.0,660,5.34,uberX
25.0,32.0,28.5,660,5.34,UberSELECT
13.0,17.0,15.0,1080,4.39,uberX
16.0,20.0,18.0,1080,4.39,UberSELECT
8.0,10.0,9.0,420,2.14,uberX
9.0,12.0,10.5,420,2.14,UberSELECT
25.0,32.0,28.5,2100,9.47,uberX
30.0,38.0,34.0,2100,9.47,UberSELECT
18.0,23.0,20.5,1380,6.95,uberX
22.0,27.0,24.5,1380,6.95,UberSELECT
11.0,15.0,13.0,660,3.63,uberX
13.0,17.0,15.0,660,3.63,UberSELECT
32.0,40.0,36.0,2340,11.75,uberX
38.0,47.0,42.5,2340,11.75,UberSELECT
26.0,33.0,29.5,1860,9.3,uberX
31.0,39.0,35.0,1860,9.3,UberSELECT
11.0,14.0,12.5,660,3.63,uberX
13.0,17.0,15.0,660,3.63,UberSELECT
11.0,14.0,12.5,660,3.74,uberX
13.0,17.0,15.0,660,3.74,UberSELECT
28.0,36.0,32.0,1920,10.91,uberX
34.0,42.0,38.0,1920,10.91,UberSELECT
15.0,20.0,17.5,1380,4.95,uberX
18.0,23.0,20.5,1380,4.95,UberSELECT
12.0,16.0,14.0,720,4.01,uberX
14.0,18.0,16.0,720,4.01,UberSELECT
26.0,33.0,29.5,1860,10.88,uberX
31.0,39.0,35.0,1860,10.88,UberSELECT
6.0,8.0,7.0,180,0.87,uberX
6.0,9.0,7.5,180,0.87,UberSELECT
21.0,26.0,23.5,1560,8.18,uberX
25.0,31.0,28.0,1560,8.18,UberSELECT
23.0,29.0,26.0,1800,8.01,uberX
27.0,35.0,31.0,1800,8.01,UberSELECT
10.0,13.0,11.5,600,3.0,uberX
11.0,15.0,13.0,600,3.0,UberSELECT
19.0,24.0,21.5,1620,6.4,uberX
22.0,29.0,25.5,1620,6.4,UberSELECT
22.0,28.0,25.0,1560,7.51,uberX
26.0,33.0,29.5,1560,7.51,UberSELECT
13.0,17.0,15.0,900,4.34,uberX
15.0,20.0,17.5,900,4.34,UberSELECT
16.0,21.0,18.5,1380,5.92,uberX
20.0,25.0,22.5,1380,5.92,UberSELECT
7.0,10.0,8.5,480,1.89,uberX
9.0,12.0,10.5,480,1.89,UberSELECT
15.0,19.0,17.0,1140,5.37,uberX
18.0,23.0,20.5,1140,5.37,UberSELECT
17.0,21.0,19.0,1140,6.18,uberX
20.0,25.0,22.5,1140,6.18,UberSELECT
21.0,27.0,24.0,1500,8.76,uberX
26.0,32.0,29.0,1500,8.76,UberSELECT
24.0,31.0,27.5,1800,8.5,uberX
29.0,37.0,33.0,1800,8.5,UberSELECT
13.0,17.0,15.0,1080,4.1,uberX
15.0,20.0,17.5,1080,4.1,UberSELECT
13.0,18.0,15.5,960,4.69,uberX
16.0,21.0,18.5,960,4.69,UberSELECT
9.0,12.0,10.5,480,2.71,uberX
10.0,14.0,12.0,480,2.71,UberSELECT
14.0,18.0,16.0,1080,4.92,uberX
17.0,22.0,19.5,1080,4.92,UberSELECT
18.0,23.0,20.5,1200,6.62,uberX
21.0,27.0,24.0,1200,6.62,UberSELECT
17.0,22.0,19.5,1200,6.42,uberX
21.0,26.0,23.5,1200,6.42,UberSELECT
16.0,20.0,18.0,1140,5.83,uberX
19.0,24.0,21.5,1140,5.83,UberSELECT
24.0,30.0,27.0,1980,7.98,uberX
28.0,35.0,31.5,1980,7.98,UberSELECT
14.0,18.0,16.0,900,4.96,uberX
16.0,21.0,18.5,900,4.96,UberSELECT
30.0,38.0,34.0,1980,11.2,uberX
36.0,45.0,40.5,1980,11.2,UberSELECT
9.0,12.0,10.5,720,2.56,uberX
10.0,14.0,12.0,720,2.56,UberSELECT
30.0,38.0,34.0,2040,11.05,uberX
36.0,46.0,41.0,2040,11.05,UberSELECT
12.0,16.0,14.0,900,3.96,uberX
14.0,18.0,16.0,900,3.96,UberSELECT
31.0,39.0,35.0,2340,11.42,uberX
37.0,46.0,41.5,2340,11.42,UberSELECT
13.0,17.0,15.0,960,4.23,uberX
15.0,20.0,17.5,960,4.23,UberSELECT
13.0,17.0,15.0,1020,4.4,uberX
16.0,20.0,18.0,1020,4.4,UberSELECT
9.0,13.0,11.0,600,2.87,uberX
11.0,15.0,13.0,600,2.87,UberSELECT
14.0,18.0,16.0,1200,4.58,uberX
16.0,21.0,18.5,1200,4.58,UberSELECT
6.0,8.0,7.0,240,1.05,uberX
6.0,9.0,7.5,240,1.05,UberSELECT
25.0,31.0,28.0,2160,8.47,uberX
29.0,37.0,33.0,2160,8.47,UberSELECT
11.0,14.0,12.5,720,3.78,uberX
13.0,17.0,15.0,720,3.78,UberSELECT
13.0,17.0,15.0,1140,3.99,uberX
15.0,20.0,17.5,1140,3.99,UberSELECT
17.0,22.0,19.5,1440,5.8,uberX
20.0,26.0,23.0,1440,5.8,UberSELECT
13.0,17.0,15.0,1080,4.44,uberX
16.0,21.0,18.5,1080,4.44,UberSELECT
14.0,18.0,16.0,1140,4.77,uberX
17.0,21.0,19.0,1140,4.77,UberSELECT
13.0,17.0,15.0,1140,4.29,uberX
16.0,20.0,18.0,1140,4.29,UberSELECT
29.0,37.0,33.0,2640,11.62,uberX
35.0,44.0,39.5,2640,11.62,UberSELECT
21.0,27.0,24.0,1140,4.91,uberX
59.0,73.0,66.0,1140,4.91,UberSELECT
10.0,14.0,12.0,120,0.72,uberX
30.0,38.0,34.0,120,0.72,UberSELECT
55.0,68.0,61.5,2340,11.3,uberX
179.0,219.0,199.0,2340,11.3,UberSELECT
36.0,45.0,40.5,1500,9.06,uberX
130.0,160.0,145.0,1500,9.06,UberSELECT
55.0,68.0,61.5,2580,12.55,uberX
200.0,246.0,223.0,2580,12.55,UberSELECT
10.0,14.0,12.0,300,1.47,uberX
35.0,44.0,39.5,300,1.47,UberSELECT
46.0,57.0,51.5,2460,9.26,uberX
157.0,193.0,175.0,2460,9.26,UberSELECT
52.0,65.0,58.5,2220,11.1,uberX
179.0,220.0,199.5,2220,11.1,UberSELECT
23.0,29.0,26.0,1020,4.74,uberX
78.0,96.0,87.0,1020,4.74,UberSELECT
48.0,60.0,54.0,2700,10.18,uberX
166.0,204.0,185.0,2700,10.18,UberSELECT
46.0,57.0,51.5,2340,11.1,uberX
177.0,218.0,197.5,2340,11.1,UberSELECT
10.0,13.0,11.5,540,1.95,uberX
43.0,53.0,48.0,540,1.95,UberSELECT
20.0,25.0,22.5,1620,6.75,uberX
114.0,140.0,127.0,1620,6.75,UberSELECT
26.0,33.0,29.5,1980,9.41,uberX
152.0,187.0,169.5,1980,9.41,UberSELECT
21.0,27.0,24.0,1140,4.38,uberX
77.0,95.0,86.0,1140,4.38,UberSELECT
18.0,23.0,20.5,840,3.64,uberX
64.0,79.0,71.5,840,3.64,UberSELECT
8.0,11.0,9.5,300,1.3,uberX
32.0,41.0,36.5,300,1.3,UberSELECT
15.0,19.0,17.0,1080,5.23,uberX
84.0,104.0,94.0,1080,5.23,UberSELECT
9.0,13.0,11.0,720,2.69,uberX
54.0,67.0,60.5,720,2.69,UberSELECT
19.0,25.0,22.0,1620,6.47,uberX
112.0,138.0,125.0,1620,6.47,UberSELECT
26.0,33.0,29.5,2460,9.02,uberX
151.0,186.0,168.5,2460,9.02,UberSELECT
20.0,26.0,23.0,1620,6.91,uberX
116.0,143.0,129.5,1620,6.91,UberSELECT
19.0,25.0,22.0,1020,4.89,uberX
80.0,99.0,89.5,1020,4.89,UberSELECT
29.0,36.0,32.5,1860,10.48,uberX
166.0,204.0,185.0,1860,10.48,UberSELECT
13.0,17.0,15.0,1020,4.3,uberX
74.0,92.0,83.0,1020,4.3,UberSELECT
22.0,28.0,25.0,1620,8.71,uberX
126.0,155.0,140.5,1620,8.71,UberSELECT
29.0,36.0,32.5,1920,10.83,uberX
168.0,206.0,187.0,1920,10.83,UberSELECT
16.0,20.0,18.0,1080,5.7,uberX
92.0,113.0,102.5,1080,5.7,UberSELECT
28.0,36.0,32.0,1980,10.62,uberX
165.0,203.0,184.0,1980,10.62,UberSELECT
14.0,18.0,16.0,960,4.97,uberX
80.0,98.0,89.0,960,4.97,UberSELECT
13.0,17.0,15.0,900,4.76,uberX
77.0,96.0,86.5,900,4.76,UberSELECT
23.0,29.0,26.0,1140,6.41,uberX
100.0,124.0,112.0,1140,6.41,UberSELECT
35.0,43.0,39.0,1500,8.89,uberX
132.0,162.0,147.0,1500,8.89,UberSELECT
11.0,14.0,12.5,600,3.75,uberX
60.0,75.0,67.5,600,3.75,UberSELECT
12.0,16.0,14.0,900,4.09,uberX
60.0,75.0,67.5,900,4.09,UberSELECT
13.0,17.0,15.0,840,4.59,uberX
66.0,82.0,74.0,840,4.59,UberSELECT
24.0,30.0,27.0,2100,8.88,uberX
122.0,150.0,136.0,2100,8.88,UberSELECT
23.0,30.0,26.5,2040,8.78,uberX
122.0,151.0,136.5,2040,8.78,UberSELECT
25.0,32.0,28.5,1740,9.64,uberX
139.0,171.0,155.0,1740,9.64,UberSELECT
19.0,25.0,22.0,960,5.06,uberX
77.0,95.0,86.0,960,5.06,UberSELECT
27.0,35.0,31.0,1920,11.1,uberX
153.0,188.0,170.5,1920,11.1,UberSELECT
9.0,12.0,10.5,600,2.99,uberX
51.0,64.0,57.5,600,2.99,UberSELECT
15.0,19.0,17.0,1080,5.14,uberX
82.0,102.0,92.0,1080,5.14,UberSELECT
22.0,28.0,25.0,1620,8.58,uberX
123.0,151.0,137.0,1620,8.58,UberSELECT
13.0,17.0,15.0,780,4.74,uberX
66.0,82.0,74.0,780,4.74,UberSELECT
18.0,23.0,20.5,1080,6.59,uberX
89.0,109.0,99.0,1080,6.59,UberSELECT
10.0,14.0,12.0,660,3.26,uberX
48.0,60.0,54.0,660,3.26,UberSELECT
30.0,38.0,34.0,2040,12.92,uberX
140.0,172.0,156.0,2040,12.92,UberSELECT
8.0,11.0,9.5,420,2.59,uberX
34.0,43.0,38.5,420,2.59,UberSELECT
22.0,27.0,24.5,1560,8.56,uberX
89.0,110.0,99.5,1560,8.56,UberSELECT
32.0,41.0,36.5,2160,13.96,uberX
123.0,151.0,137.0,2160,13.96,UberSELECT
13.0,17.0,15.0,900,4.45,uberX
47.0,58.0,52.5,900,4.45,UberSELECT
16.0,20.0,18.0,1080,5.8,uberX
54.0,67.0,60.5,1080,5.8,UberSELECT
14.0,18.0,16.0,900,5.06,uberX
45.0,56.0,50.5,900,5.06,UberSELECT
19.0,25.0,22.0,1140,7.4,uberX
52.0,65.0,58.5,1140,7.4,UberSELECT
18.0,23.0,20.5,1080,6.52,uberX
44.0,55.0,49.5,1080,6.52,UberSELECT
11.0,14.0,12.5,660,3.66,uberX
21.0,26.0,23.5,660,3.66,UberSELECT
26.0,32.0,29.0,1680,10.35,uberX
46.0,57.0,51.5,1680,10.35,UberSELECT
6.0,8.0,7.0,180,0.95,uberX
8.0,11.0,9.5,180,0.95,UberSELECT
18.0,22.0,20.0,1200,6.66,uberX
25.0,32.0,28.5,1200,6.66,UberSELECT
13.0,17.0,15.0,780,4.73,uberX
16.0,20.0,18.0,780,4.73,UberSELECT
17.0,22.0,19.5,1140,6.1,uberX
20.0,26.0,23.0,1140,6.1,UberSELECT
11.0,15.0,13.0,600,4.05,uberX
13.0,17.0,15.0,600,4.05,UberSELECT
12.0,16.0,14.0,840,4.26,uberX
15.0,19.0,17.0,840,4.26,UberSELECT
9.0,13.0,11.0,540,3.0,uberX
11.0,15.0,13.0,540,3.0,UberSELECT
25.0,31.0,28.0,1800,10.0,uberX
29.0,37.0,33.0,1800,10.0,UberSELECT
12.0,15.0,13.5,720,4.11,uberX
14.0,18.0,16.0,720,4.11,UberSELECT
9.0,12.0,10.5,480,2.66,uberX
10.0,14.0,12.0,480,2.66,UberSELECT
26.0,33.0,29.5,1740,10.7,uberX
31.0,39.0,35.0,1740,10.7,UberSELECT
13.0,17.0,15.0,900,4.3,uberX
15.0,19.0,17.0,900,4.3,UberSELECT
23.0,29.0,26.0,1620,8.98,uberX
27.0,35.0,31.0,1620,8.98,UberSELECT
25.0,32.0,28.5,1620,10.03,uberX
30.0,38.0,34.0,1620,10.03,UberSELECT
11.0,14.0,12.5,600,3.74,uberX
13.0,17.0,15.0,600,3.74,UberSELECT
13.0,17.0,15.0,900,4.51,uberX
15.0,20.0,17.5,900,4.51,UberSELECT
12.0,16.0,14.0,780,4.13,uberX
14.0,18.0,16.0,780,4.13,UberSELECT
25.0,31.0,28.0,1800,9.88,uberX
30.0,37.0,33.5,1800,9.88,UberSELECT
12.0,16.0,14.0,840,4.11,uberX
14.0,19.0,16.5,840,4.11,UberSELECT
23.0,30.0,26.5,1620,9.42,uberX
28.0,35.0,31.5,1620,9.42,UberSELECT
8.0,11.0,9.5,420,2.54,uberX
9.0,12.0,10.5,420,2.54,UberSELECT
15.0,19.0,17.0,1020,5.05,uberX
17.0,22.0,19.5,1020,5.05,UberSELECT
21.0,27.0,24.0,1500,8.4,uberX
26.0,32.0,29.0,1500,8.4,UberSELECT
20.0,26.0,23.0,1440,7.47,uberX
24.0,31.0,27.5,1440,7.47,UberSELECT
13.0,17.0,15.0,840,4.59,uberX
16.0,20.0,18.0,840,4.59,UberSELECT
17.0,22.0,19.5,1080,6.39,uberX
21.0,26.0,23.5,1080,6.39,UberSELECT
15.0,19.0,17.0,900,5.31,uberX
17.0,22.0,19.5,900,5.31,UberSELECT
9.0,12.0,10.5,600,2.59,uberX
10.0,14.0,12.0,600,2.59,UberSELECT
14.0,18.0,16.0,900,4.9,uberX
16.0,21.0,18.5,900,4.9,UberSELECT
15.0,20.0,17.5,1080,5.54,uberX
18.0,23.0,20.5,1080,5.54,UberSELECT
13.0,17.0,15.0,960,4.11,uberX
15.0,20.0,17.5,960,4.11,UberSELECT
14.0,18.0,16.0,900,4.94,uberX
24.0,31.0,27.5,900,4.94,UberSELECT
17.0,21.0,19.0,1320,5.86,uberX
31.0,40.0,35.5,1320,5.86,UberSELECT
11.0,15.0,13.0,660,3.72,uberX
25.0,31.0,28.0,660,3.72,UberSELECT
10.0,13.0,11.5,600,3.28,uberX
23.0,30.0,26.5,600,3.28,UberSELECT
6.0,8.0,7.0,180,0.92,uberX
13.0,17.0,15.0,180,0.92,UberSELECT
8.0,11.0,9.5,420,2.4,uberX
20.0,25.0,22.5,420,2.4,UberSELECT
17.0,22.0,19.5,1080,6.38,uberX
43.0,54.0,48.5,1080,6.38,UberSELECT
15.0,19.0,17.0,600,4.04,uberX
28.0,36.0,32.0,600,4.04,UberSELECT
28.0,36.0,32.0,1500,8.68,uberX
57.0,71.0,64.0,1500,8.68,UberSELECT
24.0,30.0,27.0,1620,9.5,uberX
59.0,73.0,66.0,1620,9.5,UberSELECT
25.0,32.0,28.5,1680,10.59,uberX
51.0,64.0,57.5,1680,10.59,UberSELECT
11.0,15.0,13.0,720,3.8,uberX
20.0,25.0,22.5,720,3.8,UberSELECT
13.0,17.0,15.0,780,4.72,uberX
23.0,29.0,26.0,780,4.72,UberSELECT
11.0,14.0,12.5,540,3.72,uberX
19.0,24.0,21.5,540,3.72,UberSELECT
20.0,26.0,23.0,1320,8.37,uberX
34.0,42.0,38.0,1320,8.37,UberSELECT
13.0,17.0,15.0,720,4.58,uberX
21.0,27.0,24.0,720,4.58,UberSELECT
26.0,33.0,29.5,1740,11.3,uberX
38.0,47.0,42.5,1740,11.3,UberSELECT
11.0,15.0,13.0,660,4.08,uberX
18.0,23.0,20.5,660,4.08,UberSELECT
24.0,30.0,27.0,1500,9.87,uberX
40.0,50.0,45.0,1500,9.87,UberSELECT
12.0,16.0,14.0,720,4.32,uberX
20.0,26.0,23.0,720,4.32,UberSELECT
17.0,22.0,19.5,1080,6.65,uberX
24.0,31.0,27.5,1080,6.65,UberSELECT
11.0,14.0,12.5,660,3.65,uberX
13.0,17.0,15.0,660,3.65,UberSELECT
25.0,32.0,28.5,1500,10.41,uberX
30.0,38.0,34.0,1500,10.41,UberSELECT
10.0,13.0,11.5,540,3.12,uberX
11.0,15.0,13.0,540,3.12,UberSELECT
13.0,17.0,15.0,840,4.85,uberX
16.0,21.0,18.5,840,4.85,UberSELECT
27.0,34.0,30.5,1680,11.33,uberX
32.0,40.0,36.0,1680,11.33,UberSELECT
12.0,16.0,14.0,720,4.51,uberX
15.0,19.0,17.0,720,4.51,UberSELECT
16.0,21.0,18.5,1080,6.03,uberX
19.0,25.0,22.0,1080,6.03,UberSELECT
9.0,12.0,10.5,540,2.94,uberX
11.0,14.0,12.5,540,2.94,UberSELECT
9.0,13.0,11.0,540,3.04,uberX
11.0,15.0,13.0,540,3.04,UberSELECT
14.0,18.0,16.0,900,5.15,uberX
17.0,22.0,19.5,900,5.15,UberSELECT
27.0,34.0,30.5,1740,11.77,uberX
33.0,41.0,37.0,1740,11.77,UberSELECT
11.0,14.0,12.5,660,3.78,uberX
13.0,17.0,15.0,660,3.78,UberSELECT
12.0,15.0,13.5,720,3.92,uberX
14.0,18.0,16.0,720,3.92,UberSELECT
8.0,11.0,9.5,420,2.19,uberX
9.0,12.0,10.5,420,2.19,UberSELECT
6.0,8.0,7.0,240,1.47,uberX
7.0,9.0,8.0,240,1.47,UberSELECT
19.0,25.0,22.0,1140,6.91,uberX
23.0,29.0,26.0,1140,6.91,UberSELECT
9.0,13.0,11.0,540,3.09,uberX
11.0,15.0,13.0,540,3.09,UberSELECT
18.0,23.0,20.5,1080,6.47,uberX
21.0,27.0,24.0,1080,6.47,UberSELECT
22.0,28.0,25.0,1260,8.87,uberX
27.0,34.0,30.5,1260,8.87,UberSELECT
13.0,17.0,15.0,780,4.68,uberX
15.0,20.0,17.5,780,4.68,UberSELECT
13.0,17.0,15.0,780,4.67,uberX
16.0,20.0,18.0,780,4.67,UberSELECT
7.0,10.0,8.5,360,2.28,uberX
9.0,12.0,10.5,360,2.28,UberSELECT
16.0,21.0,18.5,1140,5.98,uberX
19.0,25.0,22.0,1140,5.98,UberSELECT
18.0,23.0,20.5,1140,7.19,uberX
21.0,27.0,24.0,1140,7.19,UberSELECT
11.0,15.0,13.0,720,4.03,uberX
14.0,18.0,16.0,720,4.03,UberSELECT
9.0,13.0,11.0,540,3.17,uberX
11.0,15.0,13.0,540,3.17,UberSELECT
6.0,8.0,7.0,240,1.43,uberX
7.0,9.0,8.0,240,1.43,UberSELECT
9.0,12.0,10.5,540,2.99,uberX
11.0,14.0,12.5,540,2.99,UberSELECT
8.0,11.0,9.5,420,2.59,uberX
10.0,13.0,11.5,420,2.59,UberSELECT
11.0,15.0,13.0,720,3.93,uberX
13.0,17.0,15.0,720,3.93,UberSELECT
10.0,13.0,11.5,600,3.36,uberX
12.0,15.0,13.5,600,3.36,UberSELECT
6.0,9.0,7.5,360,1.77,uberX
8.0,10.0,9.0,360,1.77,UberSELECT
11.0,14.0,12.5,660,3.66,uberX
13.0,17.0,15.0,660,3.66,UberSELECT
21.0,27.0,24.0,1440,8.78,uberX
26.0,32.0,29.0,1440,8.78,UberSELECT
13.0,17.0,15.0,900,4.42,uberX
15.0,20.0,17.5,900,4.42,UberSELECT
11.0,14.0,12.5,660,3.71,uberX
13.0,17.0,15.0,660,3.71,UberSELECT
13.0,17.0,15.0,720,4.69,uberX
15.0,20.0,17.5,720,4.69,UberSELECT
9.0,13.0,11.0,540,3.17,uberX
11.0,15.0,13.0,540,3.17,UberSELECT
22.0,29.0,25.5,1380,9.18,uberX
27.0,34.0,30.5,1380,9.18,UberSELECT
15.0,19.0,17.0,900,5.59,uberX
18.0,22.0,20.0,900,5.59,UberSELECT
22.0,28.0,25.0,1380,8.91,uberX
26.0,33.0,29.5,1380,8.91,UberSELECT
10.0,14.0,12.0,600,3.58,uberX
12.0,16.0,14.0,600,3.58,UberSELECT
13.0,17.0,15.0,720,4.67,uberX
15.0,20.0,17.5,720,4.67,UberSELECT
26.0,33.0,29.5,1620,11.29,uberX
31.0,39.0,35.0,1620,11.29,UberSELECT
26.0,33.0,29.5,1620,11.16,uberX
31.0,39.0,35.0,1620,11.16,UberSELECT
11.0,14.0,12.5,540,3.72,uberX
13.0,16.0,14.5,540,3.72,UberSELECT
19.0,24.0,21.5,1200,7.47,uberX
23.0,29.0,26.0,1200,7.47,UberSELECT
11.0,15.0,13.0,720,4.04,uberX
13.0,17.0,15.0,720,4.04,UberSELECT
31.0,39.0,35.0,1800,14.07,uberX
37.0,47.0,42.0,1800,14.07,UberSELECT
8.0,11.0,9.5,420,2.59,uberX
10.0,13.0,11.5,420,2.59,UberSELECT
9.0,12.0,10.5,480,2.94,uberX
10.0,14.0,12.0,480,2.94,UberSELECT
25.0,31.0,28.0,1680,10.15,uberX
29.0,37.0,33.0,1680,10.15,UberSELECT
22.0,28.0,25.0,1560,9.04,uberX
26.0,33.0,29.5,1560,9.04,UberSELECT
10.0,13.0,11.5,540,3.31,uberX
12.0,15.0,13.5,540,3.31,UberSELECT
15.0,20.0,17.5,780,4.77,uberX
15.0,20.0,17.5,780,4.77,UberSELECT
10.0,13.0,11.5,480,3.39,uberX
12.0,15.0,13.5,480,3.39,UberSELECT
24.0,30.0,27.0,1140,8.4,uberX
24.0,30.0,27.0,1140,8.4,UberSELECT
18.0,23.0,20.5,1140,7.13,uberX
21.0,27.0,24.0,1140,7.13,UberSELECT
